Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE239,SAMN11840549,SRR9124839,Y18,2018-07-24,Y18_Plot8,Ambient,Y18_Plot8_06,leaf,FACE
FACE238,SAMN11840548,SRR9124840,Y18,2018-07-24,Y18_Plot8,Ambient,Y18_Plot8_05,spike,FACE
FACE271,SAMN11840553,SRR9124841,Y18,2018-07-31,Y18_Plot8,Ambient,Y18_Plot8_08,leaf,FACE
FACE270,SAMN11840552,SRR9124842,Y18,2018-07-31,Y18_Plot8,Ambient,Y18_Plot8_07,spike,FACE
FACE069,SAMN11840352,SRR9124843,Y17,2017-08-07,Y17_Plot3,Ambient,Y17_Plot3_11,spike,FACE
Mock18B,SAMN11840571,SRR9124844,Y18,Y18_FMock,B,NA,NA,NA,Mock
FACE060,SAMN11840343,SRR9124845,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_06,leaf,FACE
FACE059,SAMN11840342,SRR9124846,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_06,spike,FACE
FACE235,SAMN11840533,SRR9124847,Y18,2018-07-24,Y18_Plot7,Elevated,Y18_Plot7_06,leaf,FACE
FACE095,SAMN11840377,SRR9124848,Y17,2017-08-07,Y17_Plot4,Elevated,Y17_Plot4_12,spike,FACE
FACE094,SAMN11840376,SRR9124849,Y17,2017-08-07,Y17_Plot4,Elevated,Y17_Plot4_11,leaf,FACE
FACE243,SAMN11840441,SRR9124850,Y18,2018-07-31,Y18_Plot1,Elevated,Y18_Plot1_08,leaf,FACE
FACE242,SAMN11840440,SRR9124851,Y18,2018-07-31,Y18_Plot1,Elevated,Y18_Plot1_07,spike,FACE
FACE241,SAMN11840439,SRR9124852,Y18,2018-07-31,Y18_Plot1,Elevated,Y18_Plot1_07,spike,FACE
FACE212,SAMN11840438,SRR9124853,Y18,2018-07-24,Y18_Plot1,Elevated,Y18_Plot1_06,leaf,FACE
